,Date,Canton,Cases,id,Population,CasesPer100k
108,2020-03-10,BL,22.0,810,288132,7.64
109,2020-03-10,BS,39.0,809,194766,20.02
110,2020-03-10,FR,12.0,3235,318714,3.77
111,2020-03-10,GE,68.0,820,495249,13.73
112,2020-03-10,GL,0.0,3233,40403,0.0
113,2020-03-10,GR,18.0,406,198379,9.07
114,2020-03-10,JU,4.0,817,73419,5.45
115,2020-03-10,LU,6.0,3229,409557,1.46
116,2020-03-10,NE,27.0,824,177964,15.17
117,2020-03-10,NW,0.0,3234,43223,0.0
118,2020-03-10,OW,0.0,3236,37841,0.0
119,2020-03-10,SG,7.0,813,507697,1.38
120,2020-03-10,SH,0.0,805,81991,0.0
121,2020-03-10,SO,1.0,816,273194,0.37
122,2020-03-10,SZ,7.0,3232,159165,4.4
123,2020-03-10,TG,3.0,806,276472,1.09
124,2020-03-10,TI,91.0,403,353343,25.75
125,2020-03-10,UR,0.0,3231,36433,0.0
126,2020-03-10,VD,77.0,822,799145,9.64
127,2020-03-10,VS,15.0,401,343955,4.36
128,2020-03-10,ZG,7.0,3230,126837,5.52
129,2020-03-10,ZH,45.0,807,1520968,2.96
130,2020-03-11,AG,17.0,808,678207,2.51
131,2020-03-11,AI,0.0,3399,16145,0.0
132,2020-03-11,AR,2.0,3398,55234,3.62
133,2020-03-11,BE,41.0,3228,1034977,3.96
134,2020-03-11,BL,23.0,810,288132,7.98
135,2020-03-11,BS,49.0,809,194766,25.16
136,2020-03-11,FR,16.0,3235,318714,5.02
137,2020-03-11,GE,79.0,820,495249,15.95
138,2020-03-11,GL,2.0,3233,40403,4.95
139,2020-03-11,GR,23.0,406,198379,11.59
140,2020-03-11,JU,5.0,817,73419,6.81
141,2020-03-11,LU,7.0,3229,409557,1.71
142,2020-03-11,NE,27.0,824,177964,15.17
143,2020-03-11,NW,3.0,3234,43223,6.94
144,2020-03-11,OW,0.0,3236,37841,0.0
145,2020-03-11,SG,10.0,813,507697,1.97
146,2020-03-11,SH,1.0,805,81991,1.22
147,2020-03-11,SO,3.0,816,273194,1.1
148,2020-03-11,SZ,8.0,3232,159165,5.03
149,2020-03-11,TG,4.0,806,276472,1.45
150,2020-03-11,TI,131.0,403,353343,37.07
151,2020-03-11,UR,0.0,3231,36433,0.0
152,2020-03-11,VD,108.0,822,799145,13.51
153,2020-03-11,VS,18.0,401,343955,5.23
154,2020-03-11,ZG,7.0,3230,126837,5.52
155,2020-03-11,ZH,55.0,807,1520968,3.62
156,2020-03-12,AG,22.0,808,678207,3.24
157,2020-03-12,AI,0.0,3399,16145,0.0
158,2020-03-12,AR,2.0,3398,55234,3.62
159,2020-03-12,BE,51.0,3228,1034977,4.93
160,2020-03-12,BL,29.0,810,288132,10.06
161,2020-03-12,BS,80.0,809,194766,41.07
162,2020-03-12,FR,26.0,3235,318714,8.16
163,2020-03-12,GE,108.0,820,495249,21.81
164,2020-03-12,GL,2.0,3233,40403,4.95
165,2020-03-12,GR,28.0,406,198379,14.11
166,2020-03-12,JU,7.0,817,73419,9.53
167,2020-03-12,LU,8.0,3229,409557,1.95
168,2020-03-12,NE,33.0,824,177964,18.54
169,2020-03-12,NW,4.0,3234,43223,9.25
170,2020-03-12,OW,0.0,3236,37841,0.0
171,2020-03-12,SG,14.0,813,507697,2.76
172,2020-03-12,SH,1.0,805,81991,1.22
173,2020-03-12,SO,7.0,816,273194,2.56
174,2020-03-12,SZ,9.0,3232,159165,5.65
175,2020-03-12,TG,5.0,806,276472,1.81
176,2020-03-12,TI,170.0,403,353343,48.11
177,2020-03-12,UR,0.0,3231,36433,0.0
178,2020-03-12,VD,156.0,822,799145,19.52
179,2020-03-12,VS,23.0,401,343955,6.69
180,2020-03-12,ZG,7.0,3230,126837,5.52
181,2020-03-12,ZH,91.0,807,1520968,5.98
182,2020-03-13,AG,28.0,808,678207,4.13
183,2020-03-13,AI,0.0,3399,16145,0.0
184,2020-03-13,AR,5.0,3398,55234,9.05
185,2020-03-13,BE,62.0,3228,1034977,5.99
186,2020-03-13,BL,42.0,810,288132,14.58
187,2020-03-13,BS,111.0,809,194766,56.99
188,2020-03-13,FR,31.0,3235,318714,9.73
189,2020-03-13,GE,173.0,820,495249,34.93
190,2020-03-13,GL,4.0,3233,40403,9.9
191,2020-03-13,GR,39.0,406,198379,19.66
192,2020-03-13,JU,7.0,817,73419,9.53
193,2020-03-13,LU,13.0,3229,409557,3.17
194,2020-03-13,NE,37.0,824,177964,20.79
195,2020-03-13,NW,5.0,3234,43223,11.57
196,2020-03-13,OW,7.0,3236,37841,18.5
197,2020-03-13,SG,19.0,813,507697,3.74
198,2020-03-13,SH,1.0,805,81991,1.22
199,2020-03-13,SO,8.0,816,273194,2.93
200,2020-03-13,SZ,10.0,3232,159165,6.28
201,2020-03-13,TG,5.0,806,276472,1.81
202,2020-03-13,TI,218.0,403,353343,61.7
203,2020-03-13,UR,2.0,3231,36433,5.49
204,2020-03-13,VD,222.0,822,799145,27.78
205,2020-03-13,VS,29.0,401,343955,8.43
206,2020-03-13,ZG,7.0,3230,126837,5.52
207,2020-03-13,ZH,140.0,807,1520968,9.2
208,2020-03-14,AG,31.0,808,678207,4.57
209,2020-03-14,AI,2.0,3399,16145,12.39
210,2020-03-14,AR,5.0,3398,55234,9.05
211,2020-03-14,BE,78.0,3228,1034977,7.54
212,2020-03-14,BL,48.0,810,288132,16.66
213,2020-03-14,BS,119.0,809,194766,61.1
214,2020-03-14,FR,38.0,3235,318714,11.92
215,2020-03-14,GE,282.0,820,495249,56.94
216,2020-03-14,GL,5.0,3233,40403,12.38
217,2020-03-14,GR,47.0,406,198379,23.69
218,2020-03-14,JU,10.0,817,73419,13.62
219,2020-03-14,LU,19.0,3229,409557,4.64
220,2020-03-14,NE,39.0,824,177964,21.91
221,2020-03-14,NW,5.0,3234,43223,11.57
222,2020-03-14,OW,8.0,3236,37841,21.14
223,2020-03-14,SG,26.0,813,507697,5.12
224,2020-03-14,SH,1.0,805,81991,1.22
225,2020-03-14,SO,10.0,816,273194,3.66
226,2020-03-14,SZ,13.0,3232,159165,8.17
227,2020-03-14,TG,5.0,806,276472,1.81
228,2020-03-14,TI,262.0,403,353343,74.15
229,2020-03-14,UR,2.0,3231,36433,5.49
230,2020-03-14,VD,273.0,822,799145,34.16
231,2020-03-14,VS,47.0,401,343955,13.66
232,2020-03-14,ZG,9.0,3230,126837,7.1
233,2020-03-14,ZH,148.0,807,1520968,9.73
234,2020-03-15,AG,31.0,808,678207,4.57
235,2020-03-15,AI,2.0,3399,16145,12.39
236,2020-03-15,AR,5.0,3398,55234,9.05
237,2020-03-15,BE,78.0,3228,1034977,7.54
238,2020-03-15,BL,54.0,810,288132,18.74
239,2020-03-15,BS,119.0,809,194766,61.1
240,2020-03-15,FR,38.0,3235,318714,11.92
241,2020-03-15,GE,372.0,820,495249,75.11
242,2020-03-15,GL,5.0,3233,40403,12.38
243,2020-03-15,GR,47.0,406,198379,23.69
244,2020-03-15,JU,10.0,817,73419,13.62
245,2020-03-15,LU,19.0,3229,409557,4.64
246,2020-03-15,NE,39.0,824,177964,21.91
247,2020-03-15,NW,5.0,3234,43223,11.57
248,2020-03-15,OW,8.0,3236,37841,21.14
249,2020-03-15,SG,26.0,813,507697,5.12
250,2020-03-15,SH,1.0,805,81991,1.22
251,2020-03-15,SO,10.0,816,273194,3.66
252,2020-03-15,SZ,13.0,3232,159165,8.17
253,2020-03-15,TG,5.0,806,276472,1.81
254,2020-03-15,TI,291.0,403,353343,82.36
255,2020-03-15,UR,2.0,3231,36433,5.49
256,2020-03-15,VD,406.0,822,799145,50.8
257,2020-03-15,VS,47.0,401,343955,13.66
258,2020-03-15,ZG,9.0,3230,126837,7.1
259,2020-03-15,ZH,148.0,807,1520968,9.73
260,2020-03-16,AG,52.0,808,678207,7.67
261,2020-03-16,AI,2.0,3399,16145,12.39
262,2020-03-16,AR,5.0,3398,55234,9.05
263,2020-03-16,BE,131.0,3228,1034977,12.66
264,2020-03-16,BL,76.0,810,288132,26.38
265,2020-03-16,BS,144.0,809,194766,73.93
266,2020-03-16,FR,38.0,3235,318714,11.92
267,2020-03-16,GE,472.0,820,495249,95.31
268,2020-03-16,GL,5.0,3233,40403,12.38
269,2020-03-16,GR,47.0,406,198379,23.69
270,2020-03-16,JU,10.0,817,73419,13.62
271,2020-03-16,LU,19.0,3229,409557,4.64
272,2020-03-16,NE,74.0,824,177964,41.58
273,2020-03-16,NW,10.0,3234,43223,23.14
274,2020-03-16,OW,8.0,3236,37841,21.14
275,2020-03-16,SG,35.0,813,507697,6.89
276,2020-03-16,SH,1.0,805,81991,1.22
277,2020-03-16,SO,10.0,816,273194,3.66
278,2020-03-16,SZ,13.0,3232,159165,8.17
279,2020-03-16,TG,17.0,806,276472,6.15
280,2020-03-16,TI,330.0,403,353343,93.39
281,2020-03-16,UR,2.0,3231,36433,5.49
282,2020-03-16,VD,508.0,822,799145,63.57
283,2020-03-16,VS,47.0,401,343955,13.66
284,2020-03-16,ZG,9.0,3230,126837,7.1
285,2020-03-16,ZH,270.0,807,1520968,17.75
286,2020-03-17,AG,67.0,808,678207,9.88
287,2020-03-17,AI,2.0,3399,16145,12.39
288,2020-03-17,AR,5.0,3398,55234,9.05
289,2020-03-17,BE,131.0,3228,1034977,12.66
290,2020-03-17,BL,89.0,810,288132,30.89
291,2020-03-17,BS,165.0,809,194766,84.72
292,2020-03-17,FR,38.0,3235,318714,11.92
293,2020-03-17,GE,619.0,820,495249,124.99
294,2020-03-17,GL,5.0,3233,40403,12.38
295,2020-03-17,GR,47.0,406,198379,23.69
296,2020-03-17,JU,23.0,817,73419,31.33
297,2020-03-17,LU,50.0,3229,409557,12.21
298,2020-03-17,NE,77.0,824,177964,43.27
299,2020-03-17,NW,12.0,3234,43223,27.76
300,2020-03-17,OW,8.0,3236,37841,21.14
301,2020-03-17,SG,47.0,813,507697,9.26
302,2020-03-17,SH,1.0,805,81991,1.22
303,2020-03-17,SO,10.0,816,273194,3.66
304,2020-03-17,SZ,13.0,3232,159165,8.17
305,2020-03-17,TG,23.0,806,276472,8.32
306,2020-03-17,TI,422.0,403,353343,119.43
307,2020-03-17,UR,2.0,3231,36433,5.49
308,2020-03-17,VD,608.0,822,799145,76.08
309,2020-03-17,VS,95.0,401,343955,27.62
310,2020-03-17,ZG,9.0,3230,126837,7.1
311,2020-03-17,ZH,294.0,807,1520968,19.33
312,2020-03-18,AG,101.0,808,678207,14.89
313,2020-03-18,AI,3.0,3399,16145,18.58
314,2020-03-18,AR,10.0,3398,55234,18.1
315,2020-03-18,BE,193.0,3228,1034977,18.65
316,2020-03-18,BL,116.0,810,288132,40.26
317,2020-03-18,BS,182.0,809,194766,93.45
318,2020-03-18,FR,67.0,3235,318714,21.02
319,2020-03-18,GE,751.0,820,495249,151.64
320,2020-03-18,GL,10.0,3233,40403,24.75
321,2020-03-18,GR,116.0,406,198379,58.47
322,2020-03-18,JU,25.0,817,73419,34.05
323,2020-03-18,LU,48.0,3229,409557,11.72
324,2020-03-18,NE,99.0,824,177964,55.63
325,2020-03-18,NW,18.0,3234,43223,41.64
326,2020-03-18,OW,16.0,3236,37841,42.28
327,2020-03-18,SG,61.0,813,507697,12.02
328,2020-03-18,SH,6.0,805,81991,7.32
329,2020-03-18,SO,31.0,816,273194,11.35
330,2020-03-18,SZ,29.0,3232,159165,18.22
331,2020-03-18,TG,32.0,806,276472,11.57
332,2020-03-18,TI,511.0,403,353343,144.62
333,2020-03-18,UR,5.0,3231,36433,13.72
334,2020-03-18,VD,796.0,822,799145,99.61
335,2020-03-18,VS,129.0,401,343955,37.5
336,2020-03-18,ZG,17.0,3230,126837,13.4
337,2020-03-18,ZH,424.0,807,1520968,27.88
338,2020-03-19,AG,118.0,808,678207,17.4
339,2020-03-19,AI,3.0,3399,16145,18.58
340,2020-03-19,AR,16.0,3398,55234,28.97
341,2020-03-19,BE,282.0,3228,1034977,27.25
342,2020-03-19,BL,139.0,810,288132,48.24
343,2020-03-19,BS,222.0,809,194766,113.98
344,2020-03-19,FR,82.0,3235,318714,25.73
345,2020-03-19,GE,961.0,820,495249,194.04
346,2020-03-19,GL,16.0,3233,40403,39.6
347,2020-03-19,GR,145.0,406,198379,73.09
348,2020-03-19,JU,27.0,817,73419,36.78
349,2020-03-19,LU,63.0,3229,409557,15.38
350,2020-03-19,NE,132.0,824,177964,74.17
351,2020-03-19,NW,25.0,3234,43223,57.84
352,2020-03-19,OW,17.0,3236,37841,44.92
353,2020-03-19,SG,85.0,813,507697,16.74
354,2020-03-19,SH,8.0,805,81991,9.76
355,2020-03-19,SO,39.0,816,273194,14.28
356,2020-03-19,SZ,35.0,3232,159165,21.99
357,2020-03-19,TG,36.0,806,276472,13.02
358,2020-03-19,TI,638.0,403,353343,180.56
359,2020-03-19,UR,7.0,3231,36433,19.21
360,2020-03-19,VD,1212.0,822,799145,151.66
361,2020-03-19,VS,232.0,401,343955,67.45
362,2020-03-19,ZG,23.0,3230,126837,18.13
363,2020-03-19,ZH,526.0,807,1520968,34.58
364,2020-03-20,AG,168.0,808,678207,24.77
365,2020-03-20,AI,3.0,3399,16145,18.58
366,2020-03-20,AR,18.0,3398,55234,32.59
367,2020-03-20,BE,377.0,3228,1034977,36.43
368,2020-03-20,BL,184.0,810,288132,63.86
369,2020-03-20,BS,272.0,809,194766,139.65
370,2020-03-20,FR,109.0,3235,318714,34.2
371,2020-03-20,GE,1136.0,820,495249,229.38
372,2020-03-20,GL,18.0,3233,40403,44.55
373,2020-03-20,GR,159.0,406,198379,80.15
374,2020-03-20,JU,29.0,817,73419,39.5
375,2020-03-20,LU,92.0,3229,409557,22.46
376,2020-03-20,NE,159.0,824,177964,89.34
377,2020-03-20,NW,28.0,3234,43223,64.78
378,2020-03-20,OW,17.0,3236,37841,44.92
379,2020-03-20,SG,98.0,813,507697,19.3
380,2020-03-20,SH,14.0,805,81991,17.08
381,2020-03-20,SO,46.0,816,273194,16.84
382,2020-03-20,SZ,39.0,3232,159165,24.5
383,2020-03-20,TG,49.0,806,276472,17.72
384,2020-03-20,TI,834.0,403,353343,236.03
